epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,47316.2,0.39192,0.36613,0.95327,0.85904,0.81679,0.88497,0.78095,0.54252,0.58372,0.92599,0.000181703,0.000181703,0.000181703
75,46975.9,0.3661,0.33628,0.92538,0.89906,0.80791,0.88803,0.78579,0.53427,0.60089,0.9205,0.000140445,0.000140445,0.000140445
74,47973.7,0.3749,0.36075,0.94352,0.86002,0.84413,0.89193,0.78287,0.55776,0.59176,0.92969,0.000161074,0.000161074,0.000161074
76,47592.3,0.36775,0.33263,0.9372,0.89768,0.80916,0.88111,0.78345,0.53597,0.60806,0.92493,0.000119816,0.000119816,0.000119816
75,48628.9,0.3661,0.33628,0.92538,0.89906,0.80791,0.88803,0.78579,0.53427,0.60089,0.9205,0.000140445,0.000140445,0.000140445
77,48220,0.35533,0.32946,0.9289,0.86492,0.82824,0.88832,0.78337,0.53863,0.60547,0.9318,9.91865e-05,9.91865e-05,9.91865e-05
76,49282,0.36775,0.33263,0.9372,0.89768,0.80916,0.88111,0.78345,0.53597,0.60806,0.92493,0.000119816,0.000119816,0.000119816
78,48844.2,0.35731,0.33042,0.92292,0.84127,0.84351,0.88746,0.78398,0.53511,0.61834,0.92884,7.85574e-05,7.85574e-05,7.85574e-05
77,49932.8,0.35533,0.32946,0.9289,0.86492,0.82824,0.88832,0.78337,0.53863,0.60547,0.9318,9.91865e-05,9.91865e-05,9.91865e-05
79,49474.7,0.34531,0.3166,0.92391,0.87322,0.82435,0.8949,0.79021,0.52797,0.59022,0.92253,5.79283e-05,5.79283e-05,5.79283e-05
78,50592.7,0.35731,0.33042,0.92292,0.84127,0.84351,0.88746,0.78398,0.53511,0.61834,0.92884,7.85574e-05,7.85574e-05,7.85574e-05
80,50099.9,0.34365,0.31889,0.9206,0.84436,0.84994,0.89175,0.79265,0.5256,0.59486,0.91712,3.72991e-05,3.72991e-05,3.72991e-05
79,50974.1,0.34531,0.3166,0.92391,0.87322,0.82435,0.8949,0.79021,0.52797,0.59022,0.92253,5.79283e-05,5.79283e-05,5.79283e-05
80,51334.3,0.34365,0.31889,0.9206,0.84436,0.84994,0.89175,0.79265,0.5256,0.59486,0.91712,3.72991e-05,3.72991e-05,3.72991e-05
